bias,weight low,weight high
3.25,1.22,6.1
3.2600000000000002,1.23,6.14
3.27,1.25,6.17
3.2800000000000002,1.27,6.21
3.29,1.29,6.25
3.3000000000000003,1.32,6.29
3.31,1.36,6.33
3.3200000000000003,1.4,6.37
3.33,1.46,6.42
3.34,1.54,6.46
3.35,1.64,6.5
3.36,1.8,6.55
3.37,2.05,6.59
3.38,2.55,6.64
3.39,3.93,6.68
3.4,28.38,6.73
0.0,1.01,2.5
0.01,1.01,2.5
0.02,1.01,2.51
0.03,1.01,2.51
0.04,1.01,2.51
0.05,1.01,2.52
0.06,1.01,2.52
0.07,1.01,2.52
0.08,1.01,2.53
0.09,1.01,2.53
0.1,1.01,2.53
0.11,1.01,2.54
0.12,1.01,2.54
0.13,1.01,2.54
0.14,1.01,2.55
0.15,1.01,2.55
0.16,1.01,2.55
0.17,1.01,2.56
0.18,1.01,2.56
0.19,1.01,2.56
0.2,1.01,2.57
0.21,1.01,2.57
0.22,1.01,2.58
0.23,1.01,2.58
0.24,1.01,2.58
0.25,1.01,2.59
0.26,1.01,2.59
0.27,1.01,2.59
0.28,1.01,2.6
0.29,1.01,2.6
0.3,1.01,2.6
0.31,1.01,2.61
0.32,1.01,2.61
0.33,1.01,2.62
0.34,1.01,2.62
0.35000000000000003,1.01,2.62
0.36,1.01,2.63
0.37,1.01,2.63
0.38,1.01,2.63
0.39,1.01,2.64
0.4,1.01,2.64
0.41000000000000003,1.01,2.65
0.42,1.01,2.65
0.43,1.01,2.65
0.44,1.01,2.66
0.45,1.01,2.66
0.46,1.01,2.67
0.47000000000000003,1.01,2.67
0.48,1.01,2.67
0.49,1.01,2.68
0.5,1.01,2.68
0.51,1.01,2.69
0.52,1.01,2.69
0.53,1.01,2.7
0.54,1.01,2.7
0.55,1.01,2.7
0.56,1.01,2.71
0.5700000000000001,1.01,2.71
0.58,1.01,2.72
0.59,1.01,2.72
0.6,1.01,2.72
0.61,1.01,2.73
0.62,1.01,2.73
0.63,1.01,2.74
0.64,1.01,2.74
0.65,1.01,2.75
0.66,1.01,2.75
0.67,1.01,2.76
0.68,1.01,2.76
0.6900000000000001,1.01,2.76
0.7000000000000001,1.01,2.77
0.71,1.01,2.77
0.72,1.01,2.78
0.73,1.01,2.78
0.74,1.01,2.79
0.75,1.01,2.79
0.76,1.01,2.8
0.77,1.01,2.8
0.78,1.01,2.81
0.79,1.01,2.81
0.8,1.01,2.82
0.81,1.01,2.82
0.8200000000000001,1.01,2.82
0.8300000000000001,1.01,2.83
0.84,1.01,2.83
0.85,1.01,2.84
0.86,1.01,2.84
0.87,1.01,2.85
0.88,1.01,2.85
0.89,1.01,2.86
0.9,1.01,2.86
0.91,1.01,2.87
0.92,1.01,2.87
0.93,1.01,2.88
0.9400000000000001,1.01,2.88
0.9500000000000001,1.01,2.89
0.96,1.01,2.9
0.97,1.01,2.9
0.98,1.01,2.91
0.99,1.01,2.91
1.0,1.01,2.92
1.01,1.01,2.92
1.02,1.01,2.93
1.03,1.01,2.93
1.04,1.01,2.94
1.05,1.01,2.94
1.06,1.01,2.95
1.07,1.01,2.95
1.08,1.01,2.96
1.09,1.01,2.97
1.1,1.01,2.97
1.11,1.01,2.98
1.12,1.01,2.98
1.1300000000000001,1.01,2.99
1.1400000000000001,1.01,2.99
1.1500000000000001,1.01,3.0
1.16,1.01,3.01
1.17,1.01,3.01
1.18,1.01,3.02
1.19,1.01,3.02
1.2,1.01,3.03
1.21,1.01,3.03
1.22,1.02,3.04
1.23,1.02,3.05
1.24,1.02,3.05
1.25,1.02,3.06
1.26,1.02,3.06
1.27,1.02,3.07
1.28,1.02,3.08
1.29,1.02,3.08
1.3,1.02,3.09
1.31,1.02,3.1
1.32,1.02,3.1
1.33,1.02,3.11
1.34,1.02,3.12
1.35,1.02,3.12
1.36,1.02,3.13
1.37,1.02,3.14
1.3800000000000001,1.02,3.14
1.3900000000000001,1.02,3.15
1.4000000000000001,1.02,3.16
1.41,1.02,3.16
1.42,1.02,3.17
1.43,1.02,3.18
1.44,1.02,3.18
1.45,1.02,3.19
1.46,1.02,3.2
1.47,1.02,3.2
1.48,1.02,3.21
1.49,1.02,3.22
1.5,1.02,3.22
1.51,1.02,3.23
1.52,1.02,3.24
1.53,1.02,3.25
1.54,1.02,3.25
1.55,1.02,3.26
1.56,1.02,3.27
1.57,1.02,3.28
1.58,1.02,3.28
1.59,1.02,3.29
1.6,1.02,3.3
1.61,1.02,3.31
1.62,1.02,3.31
1.6300000000000001,1.02,3.32
1.6400000000000001,1.02,3.33
1.6500000000000001,1.02,3.34
1.6600000000000001,1.02,3.35
1.67,1.02,3.35
1.68,1.02,3.36
1.69,1.02,3.37
1.7,1.02,3.38
1.71,1.02,3.39
1.72,1.02,3.39
1.73,1.02,3.4
1.74,1.02,3.41
1.75,1.02,3.42
1.76,1.02,3.43
1.77,1.02,3.44
1.78,1.02,3.45
1.79,1.02,3.45
1.8,1.02,3.46
1.81,1.02,3.47
1.82,1.02,3.48
1.83,1.02,3.49
1.84,1.02,3.5
1.85,1.02,3.51
1.86,1.02,3.52
1.87,1.02,3.53
1.8800000000000001,1.02,3.53
1.8900000000000001,1.02,3.54
1.9000000000000001,1.02,3.55
1.9100000000000001,1.02,3.56
1.92,1.02,3.57
1.93,1.02,3.58
1.94,1.02,3.59
1.95,1.02,3.6
1.96,1.02,3.61
1.97,1.02,3.62
1.98,1.02,3.63
1.99,1.02,3.64
2.0,1.02,3.65
2.0100000000000002,1.02,3.66
2.02,1.02,3.67
2.0300000000000002,1.02,3.68
2.04,1.02,3.69
2.05,1.02,3.7
2.06,1.02,3.71
2.07,1.02,3.72
2.08,1.02,3.74
2.09,1.03,3.75
2.1,1.03,3.76
2.11,1.03,3.77
2.12,1.03,3.78
2.13,1.03,3.79
2.14,1.03,3.8
2.15,1.03,3.81
2.16,1.03,3.83
2.17,1.03,3.84
2.18,1.03,3.85
2.19,1.03,3.86
2.2,1.03,3.87
2.21,1.03,3.88
2.22,1.03,3.9
2.23,1.03,3.91
2.24,1.03,3.92
2.25,1.03,3.93
2.2600000000000002,1.03,3.95
2.27,1.03,3.96
2.2800000000000002,1.03,3.97
2.29,1.03,3.98
2.3000000000000003,1.03,4.0
2.31,1.03,4.01
2.32,1.03,4.02
2.33,1.03,4.04
2.34,1.03,4.05
2.35,1.03,4.06
2.36,1.03,4.08
2.37,1.03,4.09
2.38,1.03,4.1
2.39,1.03,4.12
2.4,1.03,4.13
2.41,1.03,4.15
2.42,1.03,4.16
2.43,1.03,4.18
2.44,1.03,4.19
2.45,1.03,4.21
2.46,1.03,4.22
2.47,1.04,4.24
2.48,1.04,4.25
2.49,1.04,4.27
2.5,1.04,4.28
2.5100000000000002,1.04,4.3
2.52,1.04,4.31
2.5300000000000002,1.04,4.33
2.54,1.04,4.34
2.5500000000000003,1.04,4.36
2.56,1.04,4.38
2.57,1.04,4.39
2.58,1.04,4.41
2.59,1.04,4.43
2.6,1.04,4.44
2.61,1.04,4.46
2.62,1.04,4.48
2.63,1.04,4.5
2.64,1.04,4.52
2.65,1.04,4.53
2.66,1.04,4.55
2.67,1.04,4.57
2.68,1.05,4.59
2.69,1.05,4.61
2.7,1.05,4.63
2.71,1.05,4.64
2.72,1.05,4.66
2.73,1.05,4.68
2.74,1.05,4.7
2.75,1.05,4.72
2.7600000000000002,1.05,4.74
2.77,1.05,4.76
2.7800000000000002,1.05,4.78
2.79,1.05,4.81
2.8000000000000003,1.05,4.83
2.81,1.06,4.85
2.82,1.06,4.87
2.83,1.06,4.89
2.84,1.06,4.91
2.85,1.06,4.94
2.86,1.06,4.96
2.87,1.06,4.98
2.88,1.06,5.0
2.89,1.06,5.03
2.9,1.07,5.05
2.91,1.07,5.07
2.92,1.07,5.1
2.93,1.07,5.12
2.94,1.07,5.15
2.95,1.07,5.17
2.96,1.07,5.2
2.97,1.08,5.22
2.98,1.08,5.25
2.99,1.08,5.28
3.0,1.08,5.3
3.0100000000000002,1.08,5.33
3.02,1.09,5.36
3.0300000000000002,1.09,5.39
3.04,1.09,5.41
3.0500000000000003,1.09,5.44
3.06,1.1,5.47
3.0700000000000003,1.1,5.5
3.08,1.1,5.53
3.09,1.11,5.56
3.1,1.11,5.59
3.11,1.11,5.62
3.12,1.12,5.65
3.13,1.12,5.68
3.14,1.13,5.71
3.15,1.13,5.75
3.16,1.14,5.78
3.17,1.14,5.81
3.18,1.15,5.85
3.19,1.16,5.88
3.2,1.16,5.92
3.21,1.17,5.95
3.22,1.18,5.99
3.23,1.19,6.02
3.24,1.2,6.06
3.25,1.22,6.1
3.2600000000000002,1.23,6.14
3.27,1.25,6.17
3.2800000000000002,1.27,6.21
3.29,1.29,6.25
3.3000000000000003,1.32,6.29
0.0,1.01,2.5
0.01,1.01,2.5
0.02,1.01,2.51
0.03,1.01,2.51
0.04,1.01,2.51
0.05,1.01,2.52
0.06,1.01,2.52
0.07,1.01,2.52
0.08,1.01,2.53
0.09,1.01,2.53
0.1,1.01,2.53
0.11,1.01,2.54
0.12,1.01,2.54
0.13,1.01,2.54
0.14,1.01,2.55
0.15,1.01,2.55
0.16,1.01,2.55
0.17,1.01,2.56
0.18,1.01,2.56
0.19,1.01,2.56
